date,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
2019-06-08,Red,True,Bantamweight,5,0.0,4.0,0.0,4.0,1.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,Orthodox,167.64,170.18,135.0,0.0,4.0,0.0,4.0,2.0,27.0,3.0,0.0,2.0,4.0,2.0,0.0,0.0,8.0,Orthodox,162.56,162.56,135.0,31.0,32.0
2019-06-08,Red,True,Women's Flyweight,5,0.0,3.0,0.0,3.0,6.0,29.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,Orthodox,167.64,167.64,125.0,0.0,2.0,0.0,2.0,2.0,25.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,Southpaw,165.1,167.64,125.0,32.0,31.0
2019-06-08,Red,False,Lightweight,3,0.0,3.0,0.0,8.0,8.0,68.0,1.0,0.0,0.0,7.0,10.0,6.0,0.0,23.0,Orthodox,185.42,185.42,155.0,0.0,11.0,0.0,11.0,1.0,33.0,2.0,0.0,1.0,3.0,3.0,6.0,1.0,14.0,Orthodox,180.34,193.04,155.0,36.0,35.0
2019-06-08,Blue,False,Bantamweight,3,0.0,4.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,Switch,170.18,170.18,135.0,1.0,0.0,0.0,5.0,2.0,20.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,6.0,Orthodox,162.56,172.72,135.0,26.0,29.0
2019-06-08,Blue,False,Heavyweight,3,0.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Southpaw,180.34,185.42,250.0,1.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Southpaw,187.96,190.5,264.0,32.0,26.0
2019-06-08,Red,False,Women's Strawweight,3,0.0,4.0,0.0,4.0,2.0,18.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,Orthodox,165.1,162.56,115.0,0.0,4.0,0.0,4.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,,165.1,167.64,115.0,33.0,28.0
2019-06-08,Red,False,Bantamweight,3,0.0,3.0,0.0,4.0,4.0,23.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,8.0,Orthodox,167.64,165.1,135.0,0.0,3.0,0.0,4.0,3.0,32.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,9.0,Orthodox,170.18,180.34,135.0,32.0,29.0
2019-06-08,Blue,False,Women's Strawweight,3,1.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Orthodox,165.1,167.64,115.0,2.0,0.0,0.0,3.0,4.0,25.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,Orthodox,160.02,162.56,115.0,25.0,33.0
2019-06-08,Blue,False,Featherweight,3,0.0,1.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Orthodox,180.34,182.88,145.0,0.0,1.0,0.0,4.0,5.0,34.0,1.0,0.0,0.0,3.0,4.0,3.0,0.0,10.0,Orthodox,172.72,180.34,145.0,31.0,37.0
2019-06-08,Red,False,Women's Strawweight,3,0.0,1.0,0.0,1.0,6.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,Orthodox,160.02,162.56,115.0,0.0,3.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,Orthodox,165.1,160.02,115.0,34.0,29.0
